Model,Dataset,Accuracy,F1_Weighted,F1_Macro,Variance
XGBoost,train,0.9487118130334211,0.94409195820388,0.6529458240989068,0.0033240963
XGBoost,train_<20,0.7450980392156863,0.94409195820388,0.6529458240989068,0.0033240963
XGBoost,train_50-99,0.9534565366187543,0.94409195820388,0.6529458240989068,0.0033240963
XGBoost,train_>1000,0.9701207883026065,0.94409195820388,0.6529458240989068,0.0033240963
XGBoost,train_100-499,0.9617021276595744,0.94409195820388,0.6529458240989068,0.0033240963
XGBoost,train_500-999,0.976857490864799,0.94409195820388,0.6529458240989068,0.0033240963
XGBoost,train_20-49,0.9425911559348332,0.94409195820388,0.6529458240989068,0.0033240963
XGBoost,val,0.8109848484848485,0.8065987829814052,0.728475750069272,0.0030351444
XGBoost,val_20-49,0.7623089983022071,0.8065987829814052,0.728475750069272,0.0030351444
XGBoost,val_<20,0.7430249632892805,0.8065987829814052,0.728475750069272,0.0030351444
XGBoost,val_100-499,0.8890173410404625,0.8065987829814052,0.728475750069272,0.0030351444
XGBoost,val_50-99,0.8257425742574257,0.8065987829814052,0.728475750069272,0.0030351444
XGBoost,test,0.8049981067777358,0.8006248944457637,0.7166013898565918,0.0030486046
XGBoost,test_100-499,0.8856812933025404,0.8006248944457637,0.7166013898565918,0.0030486046
XGBoost,test_50-99,0.8192534381139489,0.8006248944457637,0.7166013898565918,0.0030486046
XGBoost,test_<20,0.7496159754224271,0.8006248944457637,0.7166013898565918,0.0030486046
XGBoost,test_20-49,0.7382113821138211,0.8006248944457637,0.7166013898565918,0.0030486046
