feature,importance
Cs,0.06691138
Gel_P_Si,0.058972955
Sr,0.05881601
Ge,0.049960066
Zn,0.049642693
K,0.049350973
P,0.035483476
osda1_index,0.03365536
Li,0.0311662
Ga,0.029343754
Gel_Si_Al,0.029312221
osda2_index,0.02842388
Mn,0.02755608
seed,0.025948592
Gel_P_Al,0.025619037
Na,0.025270278
cryst_temp,0.02490863
Rb,0.024238648
F,0.022341821
Ce,0.019620595
OH_T,0.018816756
B,0.018777296
acid,0.018281678
Fe,0.018156981
rotation,0.017993398
Si,0.017914811
Al,0.016787123
aging_time,0.016770974
Mg,0.016409505
Co,0.016287385
H2O_T,0.015645754
cryst_time,0.014455565
OH,0.013819245
osda3_index,0.012328913
aging_temp,0.011211266
Sn,0.0099474825
Ni,0.008768331
Cu,0.008433665
Ti,0.007887567
V,0.004763719
Cr,0.0
In,0.0
Ba,0.0
Ca,0.0
Nb,0.0
Be,0.0
W,0.0
As,0.0
Tl,0.0
Ru,0.0
Ta,0.0
Yb,0.0
Hf,0.0
Y,0.0
Ag,0.0
Sm,0.0
Dy,0.0
Gd,0.0
La,0.0
Zr,0.0
Cd,0.0
