Framework,Precision,Recall,F1_Score,Support
*-ITN,0.6666666666666666,1.0,0.8,2.0
*-SVY,0.7692307692307693,0.7692307692307693,0.7692307692307693,13.0
*BEA,0.7931034482758621,0.7752808988764045,0.7840909090909091,178.0
*CTH,0.8571428571428571,0.6666666666666666,0.75,9.0
*MRE,0.7391304347826086,0.6296296296296297,0.68,27.0
*STO,0.7647058823529411,0.7647058823529411,0.7647058823529411,17.0
*UOE,1.0,1.0,1.0,2.0
-CLO,1.0,0.8,0.8888888888888888,5.0
-IRY,1.0,1.0,1.0,1.0
-ITV,1.0,0.875,0.9333333333333333,8.0
-LIT,1.0,1.0,1.0,1.0
-SVR,0.0,0.0,0.0,1.0
ABW,0.6666666666666666,0.2857142857142857,0.4,7.0
AEI,0.8484848484848485,0.8,0.8235294117647058,35.0
AEL,0.9,0.8653846153846154,0.8823529411764706,52.0
AEN,0.8148148148148148,0.7096774193548387,0.7586206896551724,31.0
AFI,0.8698630136986302,0.9202898550724637,0.8943661971830986,138.0
AFN,1.0,0.6666666666666666,0.8,3.0
AFO,0.6666666666666666,0.6666666666666666,0.6666666666666666,9.0
AFR,0.5,1.0,0.6666666666666666,2.0
AFS,0.0,0.0,0.0,2.0
AFV,0.6666666666666666,1.0,0.8,2.0
AFX,0.8,0.4,0.5333333333333333,10.0
AFY,0.6666666666666666,1.0,0.8,2.0
ANA,0.6071428571428571,0.5151515151515151,0.5573770491803278,33.0
APC,0.0,0.0,0.0,1.0
APD,0.5,1.0,0.6666666666666666,1.0
AST,0.7,0.6363636363636364,0.6666666666666666,22.0
ASV,1.0,1.0,1.0,1.0
ATN,1.0,0.6666666666666666,0.8,3.0
ATO,0.8333333333333334,0.75,0.7894736842105263,20.0
ATS,0.8888888888888888,0.8,0.8421052631578947,10.0
AVL,1.0,1.0,1.0,2.0
AWO,0.8333333333333334,0.5555555555555556,0.6666666666666666,9.0
BEC,0.7631578947368421,0.725,0.7435897435897436,40.0
BPH,0.75,0.8571428571428571,0.8,7.0
CAN,1.0,0.3333333333333333,0.5,3.0
CDO,0.0,0.0,0.0,1.0
CFI,0.7777777777777778,0.875,0.8235294117647058,8.0
CGS,1.0,1.0,1.0,5.0
CHA,0.8986175115207373,0.9154929577464789,0.9069767441860465,213.0
CON,0.875,0.875,0.875,8.0
CSV,1.0,1.0,1.0,5.0
DDR,0.7222222222222222,0.7222222222222222,0.7222222222222222,18.0
