feature_name,importance,category,description,rank
osda_min_bertz,0.1057,OSDA聚合,OSDA Bertz复杂度最小值,1
osda1_index,0.0842,OSDA索引,OSDA1索引,2
osda2_index,0.0731,OSDA索引,OSDA2索引,3
Si,0.0685,元素组成,硅元素含量,4
osda_min_sasa,0.0593,OSDA聚合,OSDA表面积最小值,5
Al,0.0523,元素组成,铝元素含量,6
osda3_index,0.0456,OSDA索引,OSDA3索引,7
cryst_temp,0.0387,合成条件,结晶温度,8
Gel_Si_Al,0.0356,凝胶比例,凝胶Si/Al比,9
osda2_axes_mean_0,0.0335,OSDA描述符,OSDA2轴均值,10
cryst_time,0.0321,合成条件,结晶时间,11
P,0.0312,元素组成,磷元素含量,12
Na,0.0298,元素组成,钠元素含量,13
osda_min_eccentricity,0.0289,OSDA聚合,OSDA偏心率最小值,14
OH_T,0.0278,凝胶比例,碱模板剂比例,15
osda_mean_bertz,0.0267,OSDA聚合,OSDA Bertz复杂度均值,16
K,0.0245,元素组成,钾元素含量,17
H2O_T,0.0234,凝胶比例,水比例,18
F,0.0198,元素组成,氟元素含量,19
osda_max_density,0.019750851795409828,其他,特征: osda_max_density,20
Mn,0.019428287191077892,其他,特征: Mn,21
osda_min_hydrophobicity,0.019422107927526612,其他,特征: osda_min_hydrophobicity,22
Yb,0.019347008628416627,其他,特征: Yb,23
Sr,0.019063571821788406,其他,特征: Sr,24
Hf,0.01902882520781333,其他,特征: Hf,25
aging_temp,0.0189,老化条件,老化温度,26
osda_mean_hydrophobicity,0.018850479889719593,其他,特征: osda_mean_hydrophobicity,27
osda_mean_polarity,0.01851561046543922,其他,特征: osda_mean_polarity,28
osda_max_sasa,0.01827708763949686,其他,特征: osda_max_sasa,29
osda_min_polarity,0.018001719658125328,其他,特征: osda_min_polarity,30
B,0.01745734676972377,其他,特征: B,31
Fe,0.016816410175208015,其他,特征: Fe,32
osda_min_volume,0.01674601267388666,其他,特征: osda_min_volume,33
Ge,0.0167,元素组成,锗元素含量,34
rotation,0.0167,合成条件,搅拌转速,35
Tl,0.01635954961421276,其他,特征: Tl,36
osda_mean_surface_area,0.016241742634326754,其他,特征: osda_mean_surface_area,37
Dy,0.01591834326646726,其他,特征: Dy,38
osda_max_hydrophobicity,0.015727523643861176,其他,特征: osda_max_hydrophobicity,39
osda_mean_density,0.01567265061663649,其他,特征: osda_mean_density,40
acid,0.0156,pH条件,酸浓度,41
Rb,0.014907884894416697,其他,特征: Rb,42
