,mel,afi,d4r,bea,cas,nsc,d6r,mfi,bik,mtt,ddr,mwf,sod,fer,pcr,bog,mor,cha,lta,imf,dzc,can,non,pau,mei,sti,mtn,jbw,stf,aft,bre,lau,gis,ast,nat,ton,dsc,afs,mtw,gme,doh,rth,d8r,ats,abw,dcc,lev,rut,atn,ltl,bph,clo,lov,mso,dnc,rte,phi,d3r,afy,vsv,los,aww,eab,ave
mel,1.0000000000000004,0.08158176953409237,0.9958607583260805,0.9999992250838567,0.9999999627612006,0.05801275775749765,0.8566037980853068,0.9999993529414922,0.9999998953405738,0.9999996964892858,0.9999965486719463,0.9999097304860144,0.8212747843625071,0.9998267347713387,0.9983160968949426,0.06280945361295469,0.999999745636409,0.8326153153718427,0.7418553802643841,0.9998083168428846,0.49984711081670585,0.08426511947073623,0.999989386724386,0.999557646524102,0.04708769941982861,0.4101541416187214,0.9999939857732929,0.9999999187751631,0.9999963299696186,0.0002648256811707836,0.9999988313594077,0.9822174367885163,0.23994716243504646,0.9632352077362312,0.2097471935842178,0.9999993582026608,0.9317654647974212,0.9689549353924112,0.9999990199591935,0.5111699839748567,0.9998981341824795,0.9999980516853297,0.9441042465758251,0.5483641155044033,0.06099797329637211,0.33467413003079655,0.7042455035024487,0.9999996463334474,7.753405292188306e-06,0.9990813940077227,0.00218742504182414,0.3067536207709859,0.9997508858791115,0.02229582572196162,3.9488265979714353e-05,0.9999964781362737,0.9740766589283987,0.9999915951667043,4.443382038791204e-05,0.9998457174971422,0.009039551235242221,9.91144186578644e-06,0.05424570942444638,9.804190494771231e-05
afi,0.08158176953409237,0.9999999999999999,0.17162196286394632,0.0815761163452353,0.08157877684195283,0.9997201546026429,0.5836115367048615,0.081596164615164,0.0815706012421768,0.08157454555363335,0.0815634232755576,0.08158727058797349,0.6286095260815908,0.0816051158770188,0.08157519294992256,0.9987723815846055,0.08158416796791583,0.619541137062968,0.7248285141837053,0.08161684913754522,0.9004634534213539,0.9978503552620596,0.08157902586903802,0.0825097275279558,0.6482527818647792,0.9423342512030346,0.08157388948127635,0.08157193781021299,0.08156232118012027,0.9945831874788807,0.08156765129309873,0.2569685069319139,0.8379524727095858,0.34575043456568577,0.7495039065846889,0.0815749612719571,0.4331842707199691,0.32380778333762583,0.0815720900024113,0.8981940899205038,0.08160130189168219,0.08156526783083941,0.40365414103886116,0.8762844868141969,0.7834014383693946,0.9334562203985649,0.763293364800045,0.08157160923692867,0.9945599593754301,0.08170355294695719,0.9944230151593035,0.9678876449383785,0.08161584444490735,0.9695184655062731,0.9945557137350585,0.08157433487826479,0.27743879897816864,0.0815590368803947,0.9945553565468954,0.08161139163175164,0.0032214904357656146,0.9945619174566738,0.007391139108165114,0.9944805865337774
d4r,0.9958607583260805,0.17162196286394632,1.0,0.9958619495042516,0.9958600265104419,0.14830729350547595,0.8996547030030799,0.9958599677365337,0.995859556126265,0.9958574807166996,0.9958602692114041,0.9957526862493964,0.8694775505198331,0.9956570281747751,0.9940933019147199,0.15322102882065233,0.9958599728512324,0.8792302732735278,0.7996464175578892,0.9956333096176421,0.5764459186943692,0.17368426322984096,0.9958428241649323,0.9954538659062537,0.10989307047209959,0.4910649839082863,0.9958502250400622,0.9958588127640599,0.9958604792875307,0.09037583431897553,0.995859271873027,0.9945987764504085,0.31636009829412215,0.9834615297214044,0.27923821491344797,0.9958566206898938,0.9606427385644835,0.9870695176615188,0.9958613470194113,0.5868983844090844,0.9957340923735795,0.9958607691519109,0.9697415051754268,0.6214043710787015,0.13514603172003606,0.41711715872548805,0.7652459941821839,0.9958592414194647,0.09012444940640574,0.9948705441595448,0.09220819106156092,0.39187192262312415,0.9955705532722221,0.10938300856901663,0.09014257623986024,0.9958533241806946,0.9878014069074318,0.9958579819402502,0.09014664141937445,0.995675129158399,0.007352671826116195,0.09012570628403646,0.052261843956485636,0.0901721946039869
bea,0.9999992250838567,0.0815761163452353,0.9958619495042516,1.0,0.9999992091092379,0.05800725987935178,0.8565904016364067,0.9999971819825666,0.9999996331954325,0.9999981113421522,0.9999983202439219,0.9999036630094948,0.8212644853086767,0.9998125974104892,0.9982764203222314,0.06280325630561051,0.9999987124723786,0.8325998799224608,0.7418481079657018,0.9997890790378398,0.4998397106210396,0.08425218676865516,0.9999867733582465,0.9995321045151803,0.04705638655372704,0.410145592124654,0.9999930302162254,0.9999992407661582,0.9999986550037958,0.0002604989859750996,0.9999995333975288,0.9822159788954808,0.23991497065894432,0.9632369260751734,0.20972668173694337,0.9999977347423881,0.9317393009523665,0.9689291329852574,0.9999999577667804,0.5111566369714385,0.9998864133417824,0.9999994100736131,0.9440817225993664,0.5483451963477476,0.060970240341551164,0.334644387083728,0.7042259478488199,0.9999991036778634,6.030701956427792e-06,0.9990302847976948,0.002157190804089414,0.3067450209944577,0.9997293702617367,0.022032902400026658,2.9472430243502736e-05,0.9999953844658352,0.9740099562408169,0.9999946234617214,3.6158379687353425e-05,0.9998294161904168,0.00829578419776731,7.387754050800708e-06,0.0533427831000778,7.724276849255993e-05
cas,0.9999999627612006,0.08157877684195283,0.9958600265104419,0.9999992091092379,0.9999999999999999,0.058009685857531225,0.8566042672796649,0.9999993207779582,0.9999999040201049,0.9999997379294573,0.9999961260548466,0.9999129165110735,0.8212697034062745,0.9998304567818944,0.9983282022976152,0.06280425145125318,0.9999998862984161,0.8326147132494133,0.7418502140308237,0.9998113605329194,0.4998412650449331,0.08426691191567573,0.9999904682028385,0.9995629857634784,0.04705394295600906,0.4101526837624496,0.9999948190639429,0.9999999869322987,0.9999960938043022,0.0002651256878496084,0.9999989142069334,0.98221389833353,0.2399251697812852,0.9632348688139485,0.20971498431721827,0.9999995538788754,0.9317675810480148,0.9689581138519763,0.9999990382684859,0.5111696058304421,0.999900804128259,0.9999978226880374,0.9441100868528364,0.5483664516408195,0.06096644696909528,0.3346631211975735,0.7042490270615235,0.9999996565246648,7.875217228759213e-06,0.9990844813065529,0.0021908317935546923,0.3067461063078818,0.999753550216582,0.022318655398492662,3.9488245625259266e-05,0.999997144310211,0.9740998670053654,0.9999909535405085,4.55196546320936e-05,0.9998487137493421,0.009212167829996516,9.979991009834815e-06,0.05440436243100369,9.948797784046952e-05
nsc,0.05801275775749765,0.9997201546026429,0.14830729350547595,0.05800725987935178,0.058009685857531225,1.0,0.5642447119060576,0.05802722541056007,0.058001437714559866,0.05800523529429461,0.057994670418077224,0.05801877898305611,0.6102884554394022,0.058037574577262385,0.05803832220628759,0.998990761603574,0.05801511069354384,0.6008060536868173,0.7085305879938196,0.058049371253341364,0.8901986025459208,0.9974239737072804,0.05800957627362604,0.05894928753541411,0.6491229218753891,0.9341541060967332,0.05800457726101208,0.058002713656309365,0.05799358201875575,0.9961436246476186,0.05799860153374619,0.23418520061199696,0.8342703942006179,0.323469121244647,0.7465480017111732,0.0580056146810749,0.4118709459792845,0.30135235869412025,0.05800317147717602,0.8875483342987458,0.058032615780378126,0.05799638277939984,0.38191368721492824,0.8646676838011087,0.783998410150146,0.9273611135059099,0.7478041229020641,0.05800241677370291,0.996126788316615,0.05814987539857201,0.9959340042016606,0.9623430903558563,0.058049615550515035,0.9704825405533687,0.9961209125458231,0.05800498830114916,0.25477904472287494,0.05799058964371142,0.9961203602155025,0.058043356935346097,0.0028846726240207314,0.996128633165812,0.005974428615769326,0.9960429011930617
d6r,0.8566037980853068,0.5836115367048615,0.8996547030030799,0.8565904016364067,0.8566042672796649,0.5642447119060576,0.9999999999999999,0.8566169737773026,0.856598268421244,0.8566095371296916,0.8565707997244696,0.8566267131631699,0.9920946180439147,0.8566321893873609,0.855701291803234,0.5667047034100767,0.8566090300318137,0.998977102351787,0.9774829768075015,0.856646426418004,0.8711118159587994,0.5861570938219008,0.856628089242347,0.856969409269032,0.3574894794942206,0.8216979829317957,0.8566140824289655,0.8566028238704726,0.8565691949516138,0.5159773879030533,0.8565911951658011,0.9315028670256096,0.6179243244595198,0.9636278987298722,0.5446847543799124,0.8566124011301721,0.9820396671671413,0.9571546446554182,0.8565886081717311,0.8811419398749084,0.8566547734811343,0.8565788579101875,0.978333725329873,0.9010860087400588,0.441619882047104,0.7502349372072773,0.9694527355621082,0.8565999872811583,0.5157354506697511,0.8563133764417987,0.5176886739908251,0.748160071698356,0.8566134243789593,0.5230493786358286,0.515811728612505,0.8566139009862632,0.9378986837097762,0.8565518598841187,0.5158228462380676,0.8566528426213221,0.017180479957450975,0.515742397899721,0.056876188064450404,0.5159143896544732
mfi,0.9999993529414922,0.081596164615164,0.9958599677365337,0.9999971819825666,0.9999993207779582,0.05802722541056007,0.8566169737773026,1.0000000000000002,0.9999987793077073,0.9999997930374308,0.9999934150417302,0.999915183374119,0.8213015189620628,0.9998396938191478,0.9983556098950138,0.062830956877746,0.9999994114969697,0.8326308412715574,0.7418779509189363,0.999825621168583,0.49987273431036827,0.08427746097454916,0.99999083730027,0.9995817618255662,0.04723338228845804,0.4101682941138556,0.9999938302038611,0.9999992032621732,0.9999927733781635,0.00026888225912367815,0.9999968648601024,0.9822279100006863,0.24006021880042439,0.9632322120836103,0.20986549532529505,0.9999995507683397,0.9318008391971325,0.968978286520118,0.9999968362028496,0.5111886098669248,0.9999084708181539,0.9999953745925682,0.9441258568683049,0.5483814744605158,0.06111994207522866,0.3347460888150156,0.7042637116382613,0.9999987917535436,9.372733684065e-06,0.9991276019830171,0.0022161914546108647,0.3067850972165537,0.9997700179872913,0.022543370254955165,4.858676248260445e-05,0.9999963860902206,0.9741452223733101,0.999987238498305,5.2384252864842304e-05,0.999860326512655,0.009781899486834316,1.2230607311712424e-05,0.055129865669733345,0.00011752693426526392
bik,0.9999998953405738,0.0815706012421768,0.995859556126265,0.9999996331954325,0.9999999040201049,0.058001437714559866,0.856598268421244,0.9999987793077073,0.9999999999999999,0.9999993987869106,0.9999971350000397,0.9999091749987761,0.8212536177668366,0.99982379620198,0.9983081845453008,0.06279144372668574,0.999999637180281,0.8326080947928466,0.7418363423207485,0.9998034814938542,0.4998255057644224,0.0842616286922592,0.9999891540940862,0.9995515565616424,0.04696281968074688,0.41014508603907834,0.9999941620604905,0.9999999114752556,0.9999971856350133,0.00026354833929226773,0.9999992273870708,0.9822065050325665,0.23985587964547117,0.9632358339044372,0.2096403381455866,0.9999991044395073,0.9317487035398869,0.968947975267207,0.9999995157522041,0.5111599457362588,0.9998955260204179,0.999998595891051,0.9440993311397196,0.5483589627349456,0.06089179841534128,0.33462146495951767,0.7042407168247256,0.9999997033912497,7.243077497556964e-06,0.9990665057962519,0.0021788755192796968,0.3067269752748966,0.9997447704373292,0.02222021442258976,3.634434882409777e-05,0.9999965899924383,0.9740641461864901,0.9999925332988959,4.219594378571462e-05,0.9998418423418483,0.008853320422067133,9.134687414948266e-06,0.05401264098322278,9.196552313807377e-05
mtt,0.9999996964892858,0.08157454555363335,0.9958574807166996,0.9999981113421522,0.9999997379294573,0.05800523529429461,0.8566095371296916,0.9999997930374308,0.9999993987869106,1.0,0.9999945434686339,0.9999151332172745,0.8212601895681335,0.9998370003124715,0.9983476793389093,0.06279516074846973,0.9999997958616188,0.832620938671924,0.7418403505574299,0.9998207762050049,0.4998296901626212,0.08427354368743278,0.9999911338334638,0.9995754691997455,0.04697965816084371,0.41015196732014864,0.9999944899181544,0.9999996953388776,0.9999942713719194,0.0002674997575301362,0.9999976635646944,0.9822057257660527,0.2398767685647535,0.9632334746974827,0.20964739118724587,0.9999997973189872,0.9317723757819015,0.9689708526281214,0.9999979205416782,0.5111713976793173,0.9999059620048989,0.9999965094287809,0.944120939472464,0.5483758467814066,0.06090592332206839,0.33464353654045864,0.7042588893318604,0.9999994865430787,8.82029297257225e-06,0.9991121513744494,0.002206345925571761,0.306731933243378,0.999762453952249,0.022460704985870786,4.531445605266568e-05,0.9999971029537008,0.9741319386225735,0.9999888516114529,4.995281638431782e-05,0.9998566915391626,0.00953419691533544,1.1420499027260264e-05,0.05485623178230404,0.00011099097439322356
