,mel,afi,d4r,bea,cas,nsc,d6r,mfi,bik,mtt,ddr,mwf,sod,fer,pcr,bog,mor,cha,lta,imf,dzc,can,non,pau,mei,sti,mtn,jbw,stf,aft,bre,lau,gis,ast,nat,ton,dsc,afs,mtw,gme,doh,rth,d8r,ats,abw,dcc,lev,rut,atn,ltl,bph,clo,lov,mso,dnc,rte,phi,d3r,afy,vsv,los,aww,eab,ave
mel,1.0,0.4724338191293965,0.7069182759464657,0.6983131598139558,0.9767314958527498,0.46389387713509334,0.6800745820393089,0.9898804860758814,0.697419611645323,0.6975318988747545,0.6974145257126404,0.6935616737651067,0.6501914733008841,0.6982842403524653,0.6952342984236913,0.46509289732085735,0.9486539319518796,0.6565435831453513,0.6253537667382956,0.7195587051998695,0.5728475927759781,0.47049685658896034,0.6976650713085224,0.6939251951236314,0.46009120790144376,0.5511098640809989,0.6881403142154082,0.6974723262394535,0.7119872550306475,0.44738006734903746,0.719153712229715,0.7137657265915084,0.5063495018999045,0.6645362907498674,0.49816902214079456,0.6974230343638343,0.6806616214799565,0.7028890671102614,0.6986813674392474,0.5762986916084711,0.7069479027965855,0.6971074153671968,0.6804195022044134,0.5953283540848333,0.45044842833024246,0.538545021847574,0.6241323648259942,0.668287470061187,0.4471038922972921,0.687488281103829,0.4436438945098969,0.4911996946863807,0.6976285315025222,0.4516236988866369,0.42504822895556804,0.6792560827905716,0.6875853456441401,0.6782187256865728,0.44416657129131676,0.696675272485485,0.4210401145258099,0.44122541246049385,0.4542589590400997,0.41307792512577546
afi,0.4724338191293965,0.9999999999999998,0.4898595581172662,0.4668529493319573,0.4687399923036798,0.9929332370516631,0.5912111039124628,0.4663181187027434,0.4694313348344914,0.469463771354074,0.4664696515371756,0.45993302855838736,0.5994992254172233,0.46955482680962285,0.4650014743224067,0.9927192445680626,0.46827457373353587,0.5999654613507411,0.6174046170390001,0.5090788862101323,0.6736507153824202,0.6977986073059697,0.46985343489367526,0.4591756871781641,0.6089624606148399,0.6841550776533999,0.45933457018737406,0.46950193835612214,0.4690645474122965,0.6930941471588443,0.4680988798797227,0.5120223692952457,0.6523436634667459,0.5117469467187183,0.6317330551756115,0.46982529969619724,0.5563797195787986,0.5290763181867358,0.46803383568212,0.6733683615934252,0.46709364657692953,0.4654307620730975,0.540533621296285,0.6677738849757688,0.6294949559574475,0.6799848938025914,0.6353897870323777,0.4424544190635292,0.6952756385738146,0.4567983415191043,0.6906833555412157,0.6573587582597444,0.4651627076368833,0.6847353709579552,0.6835583567871095,0.45262652744058063,0.508191144708431,0.43678764855350877,0.692594290090942,0.4639111288087985,0.42389822381279263,0.6851170399999604,0.4430419630760276,0.6522926213301221
d4r,0.7069182759464657,0.4898595581172662,1.0,0.6970914810310471,0.7045059756405675,0.48418473085124025,0.6726572791471007,0.6931168315668543,0.6931975075834165,0.6933952467410105,0.6934206538987215,0.6914949995758445,0.8175456870612302,0.7493547074671637,0.6895773426060567,0.4856756229314768,0.7171619846541576,0.6651086178193364,0.8667935560267473,0.6915575281108027,0.5895945695385794,0.49023036228558614,0.7617721206380168,0.6883992292106363,0.4755079866753923,0.5719057660532674,0.677566302281379,0.693367475376928,0.7392758576510823,0.46794333340404193,0.7584343361207309,0.7636262300675594,0.5186483138971119,0.7159969217401412,0.5099998484332176,0.7595509834702853,0.6875727632857811,0.6946642518912937,0.7216578856800242,0.5959611154288521,0.688486871942102,0.6940104365944791,0.6846634464333743,0.6014399376200084,0.4576951166190023,0.5475079487624746,0.6347222630435075,0.6550371273261852,0.4669274556819499,0.6865707655001899,0.4694148016485804,0.5425842406821539,0.6922184340491598,0.466707831521345,0.4579873685213242,0.668193142376913,0.6835270331533326,0.7187214249001306,0.4753880934748486,0.6891173233741517,0.40864634583321935,0.4615785840902559,0.4521902923522578,0.42426372330188367
bea,0.6983131598139558,0.4668529493319573,0.6970914810310471,1.0,0.6981065306418804,0.46117945573944363,0.6605823459514066,0.6962186325156129,0.6954475788616445,0.6947833628041468,0.6919765014983056,0.6884879161443382,0.6490159700772024,0.6971980827072621,0.6915921267674889,0.4625776187815346,0.8331100372869152,0.6521128446846087,0.6213523827305606,0.6913108373819392,0.5723871031471927,0.4683697021328489,0.6962556724709844,0.6900040962928897,0.459960712461378,0.549800522207292,0.6801835689729543,0.69558049781803,0.6964230678783221,0.4425771901874702,0.7013759490275824,0.7013468635731168,0.5015598031724879,0.6565745743198218,0.49381081895664103,0.6970898435672033,0.6802056766692637,0.6886371141603943,0.9600343846424373,0.5757006101520632,0.690663847939071,0.6916444538954324,0.6762446186879665,0.5824032139432848,0.4448537668757093,0.5288632115064849,0.6192062245362324,0.6584364993458933,0.4431826523472365,0.6889208794641634,0.4438293869379963,0.49874443464464857,0.6959217401088112,0.4489138304789011,0.4314698709488854,0.6705592077991847,0.6831970272518125,0.6751002293457482,0.44631356999809296,0.6940949906844892,0.4121611946633631,0.44306511244961,0.4481420033213961,0.4087801456777787
cas,0.9767314958527498,0.4687399923036798,0.7045059756405675,0.6981065306418804,1.0,0.462788899015959,0.6615055297060346,0.9851075391435622,0.7604903300658375,0.6995411803663009,0.697128533442379,0.6919697118467425,0.6483866736805048,0.7145672972533925,0.6954793615074291,0.4639326327285176,0.9464881183721433,0.6557432013135496,0.6227192977851351,0.6960570952673741,0.5771174565463786,0.47053039995409657,0.7249997944182307,0.6929973899157722,0.4594518681966263,0.5532509268671014,0.6900380916773752,0.760476785274146,0.7154665203464144,0.4464483253903101,0.6974008426555456,0.6933165356644388,0.5065761000084775,0.6678948843601952,0.49864700768996356,0.7181905592247595,0.6805366508791602,0.6894115936269701,0.7324864206803783,0.5758916657404936,0.6958617296189772,0.6964130136816411,0.6787349637104898,0.5843237347165142,0.45241583934723273,0.532589607672349,0.6237658577825466,0.6716422327941953,0.44704308929382686,0.6869207461733517,0.4420186765126949,0.4879551941772898,0.6976724076402171,0.4520126049034216,0.42313057446648195,0.6818952643661003,0.6876202908640772,0.6627477750273694,0.4429379852019184,0.6972685168335306,0.42474278824464246,0.44070790890859457,0.45399082068626995,0.41325159865130623
nsc,0.46389387713509334,0.9929332370516631,0.48418473085124025,0.46117945573944363,0.462788899015959,1.0,0.5863505034932565,0.4602173457049648,0.4635042986358868,0.46347094751442924,0.46020986030211497,0.4541583222594079,0.5948905565054342,0.4635605362550257,0.45835750654401664,0.9995857346701524,0.46235782590359786,0.595001548429763,0.6130735309664391,0.47784612733940623,0.6710526388379446,0.6975992530233217,0.4639430950052617,0.4532926897853291,0.6090681407081573,0.6820327912466257,0.4525376563739831,0.4635752065361915,0.46325663553293395,0.6933041610340489,0.4623724223235207,0.5065966315893794,0.6510659873998794,0.5048733898694892,0.6306521666579255,0.4641192894071192,0.5511408673019806,0.5546403224043351,0.4623359715362477,0.670786920120502,0.4909820223743529,0.4592961085713759,0.5347682805752488,0.6922803709085461,0.6287955256887525,0.6934618982345316,0.6312580463973038,0.43509165701928776,0.6955906228485239,0.4512517940664553,0.6906959226480419,0.6568271700966463,0.45888620031455524,0.6845899776858857,0.6771616506305731,0.4455512854836351,0.502300759241146,0.43213627167011004,0.6934432197666215,0.4577315228820209,0.42275511905731744,0.6860208408623658,0.44249892602327456,0.6527666643309719
d6r,0.6800745820393089,0.5912111039124628,0.6726572791471007,0.6605823459514066,0.6615055297060346,0.5863505034932565,0.9999999999999999,0.661274659743436,0.657563190723288,0.6608774031500781,0.6607643693690713,0.6609966904474596,0.7674069468533236,0.6609138203487576,0.6574569777050833,0.5871064387740818,0.6620058770925306,0.9571387603565347,0.6898845783472958,0.6553426481878929,0.6629410183277203,0.6258790270589222,0.658200440447057,0.6625690443047388,0.5377491823091337,0.6533205774161457,0.6461737293877841,0.6576515670999212,0.6597554256707233,0.5878345860747394,0.6594544524788631,0.6773562096800114,0.5991733181785287,0.6546531665227465,0.579080181873472,0.6593984482526347,0.7075765728354002,0.6854057056181684,0.660234311930744,0.6808463555976693,0.6527418075974756,0.6618818571606808,0.6923763270205788,0.6688046062908292,0.5412446941416283,0.6353924826391734,0.7308881319214158,0.6221660070171887,0.5756804398137867,0.674041804279907,0.5744388117250693,0.608274267558723,0.6599737009359218,0.5899381766551364,0.5572840372803478,0.634933173646018,0.6785438852819906,0.6347008602489377,0.5747751903458158,0.6577237834535816,0.41200207412004686,0.571262147804234,0.4535774946846499,0.5439947141783337
mfi,0.9898804860758814,0.4663181187027434,0.6931168315668543,0.6962186325156129,0.9851075391435622,0.4602173457049648,0.661274659743436,1.0,0.6965109862356562,0.6965168870308651,0.6965729616900033,0.691976271225189,0.6477359227911338,0.6959444799437953,0.6957615047183728,0.4613187931352212,0.9555107526992466,0.6561043669867515,0.6224023513352404,0.6934091810393037,0.5720301832498669,0.4699556758271168,0.6958785404944065,0.6949899068461014,0.45862059001914424,0.548615424335527,0.6904505853311532,0.6965135877266576,0.6958269755966802,0.44588994802944404,0.694691351703907,0.6897332291816332,0.5080671945128507,0.6691699093104958,0.4988340338416529,0.6947260503577477,0.6790508751173474,0.6868525627542847,0.6965782619454965,0.5736846318577107,0.6935865273480659,0.696038932787284,0.6800535263508202,0.5811029417228146,0.4548985080824637,0.5326759311708398,0.6244013014501241,0.6719780114837315,0.44606735574707923,0.6867941898921451,0.4404402102555629,0.4817332627817782,0.6982901933798588,0.45384243352783293,0.41859792084688585,0.6817985322127591,0.6901888238788502,0.6570772284471803,0.4401787676394017,0.69827883957966,0.42424171174710407,0.441349165148095,0.45218293617489513,0.4177387229237637
bik,0.697419611645323,0.4694313348344914,0.6931975075834165,0.6954475788616445,0.7604903300658375,0.4635042986358868,0.657563190723288,0.6965109862356562,0.9999999999999999,0.870477026232316,0.6957603295701771,0.6873625398694274,0.6435695470908711,0.6979557211047429,0.6944723026823476,0.4645347870322297,0.6975933256799776,0.6525599688015733,0.6168949774838421,0.6983148132482456,0.575425051615915,0.46888222163070625,0.6995161012436175,0.6877443356316665,0.45685600881406574,0.549237888104211,0.6923335445547991,0.9998079622346345,0.6980705088765399,0.44351216952288064,0.6965824984605767,0.6926354749658071,0.5044858744839,0.6719772273512664,0.4983970469744706,0.8233013176378112,0.6792674030134418,0.6890067021417312,0.8039970212297252,0.5747365798562637,0.6988634380969061,0.6940400739963993,0.6732742881686336,0.5856967583588703,0.4529610210952003,0.531644779216254,0.6211415196276056,0.6773522170918315,0.4462329412145166,0.68301391990909,0.43830682221534056,0.4842701590778778,0.6955227501554132,0.44923656719367144,0.4201123602664401,0.6863001610869458,0.683615302272962,0.6579561105731206,0.4404626746590519,0.6956815693603589,0.43126510456071215,0.43559823281958454,0.4543795204448357,0.40759899970610647
mtt,0.6975318988747545,0.469463771354074,0.6933952467410105,0.6947833628041468,0.6995411803663009,0.46347094751442924,0.6608774031500781,0.6965168870308651,0.870477026232316,1.0,0.6967663890178485,0.6889837529715627,0.6443489534882011,0.7045345957737348,0.6946755535614355,0.4644785809792598,0.6986009362990308,0.6537235915944306,0.6186228755965095,0.7154991450258847,0.5943550233518736,0.46908176140887037,0.6994493180401803,0.6884563251424176,0.45695391627834353,0.5496103370812477,0.6930861872065941,0.8705891588187538,0.7095557375889407,0.44477779097729414,0.696725480460022,0.695248843991945,0.5052892798285574,0.6717675925138691,0.4995344384261394,0.905531201177109,0.6793888232672863,0.6889705484164774,0.6963392235227124,0.5751190030671407,0.6987377397908452,0.6951081695989583,0.6746294538624772,0.5998403427135608,0.45263824177407397,0.5318820666898758,0.6221787427870707,0.6782513023373586,0.44667792230587733,0.6824016997260844,0.4386307749530505,0.48421039959373563,0.6956368415053207,0.502880167831234,0.41929607525443535,0.6872147114986671,0.6837904003564187,0.6570933452807963,0.4408843935461897,0.6957055918819804,0.43217547650052535,0.4342061413070498,0.4569815350153225,0.4056467926397599
