,mel,afi,d4r,bea,cas,nsc,d6r,mfi,bik,mtt,ddr,mwf,sod,fer,pcr,bog,mor,cha,lta,imf,dzc,can,non,pau,mei,sti,mtn,jbw,stf,aft,bre,lau,gis,ast,nat,ton,dsc,afs,mtw,gme,doh,rth,d8r,ats,abw,dcc,lev,rut,atn,ltl,bph,clo,lov,mso,dnc,rte,phi,d3r,afy,vsv,los,aww,eab,ave
mel,0.9999999999999998,0.014079505128687872,0.03485554359114306,0.0008681288007850694,0.9232012672551979,0.005447377475176346,0.058070885409197,0.9688417522397313,0.0,4.620476740307033e-05,0.0,0.0,0.0,0.0,0.0,0.005445186991255929,0.8296821262978507,0.0,0.0,0.08125750855807629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046253173521691414,0.0,0.07177679719091463,0.07045924096132362,0.0,0.0,0.0,0.0,0.0,0.044225966043688746,0.0009038633134011762,0.0,0.04242508284522401,0.0,0.0002403214512183597,0.03856454580986916,0.0,0.021470443410155693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.221191616488166e-06,0.0,0.0,0.0,0.042314726274920646,0.0,0.0,0.0,0.0,0.0,0.0
afi,0.014079505128687872,0.9999999999999999,0.0,0.0,6.808254638022753e-06,0.9768352176549719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9769768136171542,0.0,0.0,0.0,0.13674361135536697,0.00015611574664959802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1771752286709894e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.982931854974565e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022979601516785318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d4r,0.03485554359114306,0.0,1.0000000000000002,0.0,0.030005835845170924,0.0,0.0,0.0,0.0,0.0,0.0009491004778465667,0.0,0.5110483795200466,0.17379330135041132,0.0,3.4218439328155496e-05,0.06906532570070308,0.0,0.7485908819017223,0.0,0.0,0.0,0.2222142526973937,0.0,0.0,0.00048616205148386285,0.0,0.0,0.1433597727454544,0.0,0.20314994958218,0.22313336446234638,0.0,0.19940903834243318,0.0,0.20943582534147995,0.0,0.0,0.08205413481205456,0.0,0.0,0.0017830329705547973,0.0,0.0,0.0,0.0,0.0,0.0012897597138911484,0.0,0.0,0.0,0.049844153619378266,0.0,0.0,0.0,0.0012592424234004113,1.4083173592834084e-05,0.13486732569728313,0.014858574105418486,0.0,0.0,0.0,0.0,0.0
bea,0.0008681288007850694,0.0,0.0,1.0000000000000002,0.0011631628940452243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4471955898350068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010720213373043312,0.0,0.011605106315143294,0.024723386035254494,0.0,0.0,0.0,0.0,0.0,0.0,0.867485639046227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cas,0.9232012672551979,6.808254638022753e-06,0.030005835845170924,0.0011631628940452243,1.0000000000000002,0.0,0.0,0.9526925861073202,0.20653728766776758,0.003766391193870359,0.0,0.0,0.0,0.05457433097521772,0.0,1.547312654244526e-05,0.8227085074958023,0.0,0.0,0.0,0.011744268478392472,0.0,0.08864646566870227,0.0,0.0,0.008817868700972436,0.0,0.20638418192010613,0.05758007540745669,0.0,8.799352982304263e-05,0.001944350108925596,0.0,0.0,0.0,0.06810050241233659,0.0,0.0,0.11352666037106628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nsc,0.005447377475176346,0.9768352176549719,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994958021278322,0.0,0.0,0.0,0.05290788268358954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10400262409885694,0.0,0.0,0.09976763286879871,0.0,0.0,0.0906891204466823,0.0,0.05048627892519517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d6r,0.058070885409197,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.008967046279396434,0.0,0.0,0.2362165502827765,0.0,0.0,0.0,0.0,0.8624357640327552,0.0006322415764314482,0.0,0.0,0.10335520156292576,0.0,0.005830523219044484,0.0,0.0,0.0,0.0,0.0,0.039503591615941885,0.0,0.00011108786870805725,0.0,0.0,0.0,0.0,0.047787113349369935,0.0,4.4711537276204583e-07,0.04278048938618476,0.0,0.0,0.0,0.0,0.0,0.006051197876575456,0.1370561712274316,0.0,0.0,0.06321743295827686,0.0,0.0,7.912199342016428e-05,0.05002024590408087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006077475633221829,0.0036464853799330972
mfi,0.9688417522397313,0.0,0.0,0.0,0.9526925861073202,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8550650027894917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bik,0.0,0.0,0.0,0.0,0.20653728766776758,0.0,0.0,0.0,1.0,0.5690768990718816,0.0,0.0,0.0,0.0,0.0,0.0,7.331125931590867e-05,0.0,0.0,0.0,0.005775866609517511,0.0,0.0,0.0,0.0,0.0,0.0,0.9993745487787715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4157992680833612,0.0,0.0,0.3567154448727326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mtt,4.620476740307033e-05,0.0,0.0,0.0,0.003766391193870359,0.0,0.008967046279396434,0.0,0.5690768990718816,1.0000000000000002,0.0,0.0,0.0,0.02113152016194336,0.0,0.0,0.004056997069719243,0.0,0.0,0.055408831831394056,0.07131404725253972,0.0,0.0,0.0,0.0,0.0,0.0,0.5695187309080282,0.03667296747330345,0.0,0.0,0.010027251252124553,0.0,0.0,0.0,0.689849091951471,0.0,0.0,7.910263233677894e-05,0.0,0.0,0.0,0.0012271532159675465,0.04748799204287435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17926833659697908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
