,mel,afi,d4r,bea,cas,nsc,d6r,mfi,bik,mtt,ddr,mwf,sod,fer,pcr,bog,mor,cha,lta,imf,dzc,can,non,pau,mei,sti,mtn,jbw,stf,aft,bre,lau,gis,ast,nat,ton,dsc,afs,mtw,gme,doh,rth,d8r,ats,abw,dcc,lev,rut,atn,ltl,bph,clo,lov,mso,dnc,rte,phi,d3r,afy,vsv,los,aww,eab,ave
mel,0.9999999999999999,0.9945532021188755,0.9972028500223868,0.9986703171032781,0.9998507082659907,0.9945849825337669,0.9977205130724897,0.9981424036957328,0.9960372299147016,0.9926016589637572,0.9931377933620623,0.9966649642443317,0.9917217708968674,0.9937205928150874,0.980293028319223,0.9948854006589635,0.9997272499176385,0.9972180532649699,0.9841109778777346,0.9809690435831505,0.998199407208115,0.9974153032415344,0.9926484510972079,0.975780185205832,0.9939068384537324,0.994840710330115,0.9911802623931437,0.9962656620139569,0.988283206682817,0.9924746706523279,0.9903292804660256,0.9916224808246595,0.9916038462260746,0.995109185071871,0.9872734410056543,0.9918592858651186,0.9923280731934011,0.9943348829045846,0.9991188198916358,0.9952700737087931,0.9904912808296036,0.9960856600569763,0.9807381492186628,0.990151094423267,0.9668409459020957,0.9963010639794592,0.9977082380064867,0.9702190452382549,0.9953218172611954,0.9479794446338241,0.9748085162726402,0.9889754150652393,0.9923936968599196,0.9818854549382767,0.9724651421698634,0.9758503566801973,0.9717202223209279,0.9986363270529947,0.9900912279957544,0.9932736168930251,0.9632987234465014,0.9503105315008232,0.9491551659502286,0.8244416121126177
afi,0.9945532021188755,0.9999999999999999,0.9989841181030089,0.9909401874106023,0.9944545337354351,0.9997938419093968,0.9927013345733271,0.9875026945861867,0.9986028222600618,0.9990398512851859,0.9962008307980016,0.9961672394899637,0.9876640343903819,0.9986807723200246,0.9759059007671387,0.9998430404605747,0.9932388737620621,0.9971476358139009,0.9847911423436478,0.9937146415798784,0.9925581072517488,0.9942251497190172,0.9983688124693857,0.961462940192099,0.9891085040995345,0.9972270480288609,0.9979830931261421,0.9986650012063784,0.9957526557908218,0.9963411190688901,0.9958345593464013,0.9950929872588765,0.988045821129064,0.9967445637856456,0.9951396849636888,0.9986528065591721,0.9914125778627264,0.9956445099045503,0.9933766096584593,0.9995326719783356,0.997018439560393,0.9961313653324084,0.9708684717223072,0.996344739051,0.9553487796026097,0.9927829442769677,0.9961688695826372,0.9874008717476674,0.9954701090779625,0.9308072339062445,0.9722210042033076,0.997981695128011,0.9854530603309649,0.9670955587183958,0.9697332707814448,0.9909990434831067,0.9532566328409051,0.9948726696001077,0.9960497567950989,0.9852731867279862,0.9826043301798247,0.9229237048414106,0.9748157635881414,0.773858034351783
d4r,0.9972028500223868,0.9989841181030089,0.9999999999999999,0.9938256336451594,0.9968031646124982,0.9985834491666973,0.9943399599739593,0.9911384008068574,0.9980845543800452,0.9971662544699303,0.9978581955344434,0.9959304036773785,0.9892495248641006,0.998753324775618,0.9794916891760312,0.998761653924272,0.9957547725134398,0.9977641820999417,0.9872425512776248,0.992056293716439,0.9937927064697024,0.994505128616286,0.9976877459646509,0.9621849694026864,0.9906869550894442,0.998728268721221,0.9976811709167617,0.9982348947354145,0.9949542292483783,0.9978910914242953,0.995870958552461,0.9953215588589188,0.9869481834220656,0.9984139647481457,0.9909150707247516,0.9967218126181978,0.9899049932154681,0.9978023838386213,0.995834785147897,0.9989512339937151,0.9964993926807583,0.997992812223231,0.9742730571222795,0.9959327169684961,0.9555380663543585,0.9926238605750263,0.9965490035456525,0.9850527172444347,0.9959168827290177,0.930414425137928,0.9765233220110966,0.9971201426339306,0.9869487422615437,0.9696284192260981,0.9742212802477425,0.9890398030438722,0.9555880515944731,0.996695324360889,0.992418413849772,0.9860941060958964,0.9782893842159834,0.9288336919060699,0.9677447525706004,0.7853384105218192
bea,0.9986703171032781,0.9909401874106023,0.9938256336451594,1.0,0.9990671771280087,0.9916751011243627,0.9961435556555547,0.998257638980688,0.994297385345097,0.9895545456156474,0.9881773070877728,0.9956968696286341,0.9884128002446293,0.9884028720571411,0.9736768056264373,0.9919941217875157,0.9992094827460735,0.9940007762586704,0.9768872820370681,0.9743616928111904,0.9974635935924694,0.996470456820344,0.9892124884549878,0.9796319655340687,0.9907508831050164,0.9897388789939038,0.9860666290327746,0.9943322684605046,0.9845570826329312,0.9874578629163709,0.9869098174483985,0.9913105462369548,0.9917241674339291,0.991212950382734,0.9848651810061673,0.9889552799248281,0.9915210938796739,0.988184289198617,0.9994640546155419,0.9914984558784535,0.9868697199683684,0.9912556784383311,0.978551470175714,0.9862556400830094,0.9670627613671073,0.9961748981899237,0.9959333411466512,0.9604471395784728,0.9925308739998355,0.9533340602721525,0.964994700328505,0.983495103049505,0.9909983583881612,0.9836273562979542,0.9628972037123465,0.9671127337413536,0.9762707168797609,0.9980038539579665,0.9882870032736705,0.9946417858507623,0.9566983336517172,0.9623569695168772,0.941437285542352,0.8329008402743849
cas,0.9998507082659907,0.9944545337354351,0.9968031646124982,0.9990671771280087,1.0,0.99482641852888,0.9971139996811776,0.9979808191605337,0.996619241985141,0.993041929138408,0.9917884634207724,0.997210210555728,0.9901142245777773,0.9927952151382932,0.9770605788143517,0.9950689153110522,0.9996939816347158,0.9965007871225632,0.9812079138448697,0.9807991746283469,0.9982347214715291,0.9974577977335234,0.9930818158884221,0.976294382084572,0.9926761989354471,0.9937316489168442,0.9902736269004897,0.9967994123362504,0.9889396646540933,0.9919793285183415,0.9909052992335452,0.9925692920642687,0.9919198007275603,0.9939012585174754,0.9879110243975102,0.9925038536299882,0.9924433196550967,0.9929819040898188,0.9996117030873181,0.9951306011137532,0.9909544625112127,0.9947957248007171,0.9784146887850332,0.9906727201001515,0.9657813416495593,0.9967199118243826,0.997670399156882,0.968630280234009,0.994402025034728,0.9483915808007792,0.9710079198078079,0.9882326307023622,0.9915840608341949,0.9813970319461686,0.9684311847281032,0.9745893622513743,0.9720462565838055,0.9992512587344317,0.9910029835652703,0.9937376592865509,0.9639404007053876,0.9515845764344651,0.9500014765863689,0.8232450196955767
nsc,0.9945849825337669,0.9997938419093968,0.9985834491666973,0.9916751011243627,0.99482641852888,0.9999999999999998,0.9920409609160898,0.987591971495387,0.9992337944473626,0.9993435597994335,0.9946258762045944,0.9966715517687773,0.9857557998273324,0.9975052526437783,0.9721216301435064,0.9999891273001258,0.9933893345469301,0.9962471137523716,0.9813814466587045,0.9933404540013531,0.9926821831800068,0.9942208182463553,0.9988360362241652,0.9619994163996102,0.9876009670728684,0.9959248851137164,0.9967597595338543,0.9992426737663141,0.9964898044568569,0.9959111675715102,0.9965568663799065,0.9963340764299928,0.9882030218199617,0.9953968704130783,0.9954285847932106,0.9992312278534462,0.99128966504216,0.9941225355800363,0.9941951338214071,0.9992600370746378,0.9975119008772693,0.9946375751939399,0.9682227311223086,0.9969827873076418,0.9538944727891557,0.9931841055213703,0.9960437139628252,0.9851762706908049,0.9944144930296959,0.9311220435496215,0.9678558421874974,0.9969735104592017,0.9843871098330038,0.9665655131760876,0.9651184476374436,0.9892115843297975,0.9536691806508603,0.995770846016574,0.9968670517045485,0.9857425014089959,0.9828702125795407,0.9250904528241621,0.9751653547115309,0.7736053086083436
d6r,0.9977205130724897,0.9927013345733271,0.9943399599739593,0.9961435556555547,0.9971139996811776,0.9920409609160898,1.0,0.9976985663204223,0.9926975489635221,0.9902000657810667,0.9920190234852746,0.995653384749963,0.9975360726798459,0.9928022403697067,0.9877497351947541,0.9924878667440274,0.9984058090664143,0.9985006948660515,0.9888670058361503,0.9746868285220988,0.9989912436692736,0.9990875352483813,0.9872587171771646,0.9842499084783918,0.9986437891468004,0.9932475239673826,0.9902937184441439,0.9929370262027405,0.9807462141707506,0.9862106182400278,0.9825278362992579,0.9845751085885831,0.9963982591502862,0.994598778606184,0.9893718411185782,0.988311228403247,0.9969062986179238,0.9921603602719805,0.9952636747086197,0.9933996345074887,0.9840494260093047,0.9961040090551947,0.9901502163204566,0.9828960994996507,0.9805028801150075,0.9979546684827866,0.9981698630300738,0.9682519786072418,0.9977935328162674,0.9624010796783441,0.9798594471791775,0.986762703173209,0.9979331753782961,0.9899049695905842,0.97843035110277,0.9731932804713141,0.9803715484906992,0.9939070018928816,0.9902884158870167,0.996345120551285,0.9558995694683459,0.9547117213066664,0.942479305883242,0.8390626427826409
mfi,0.9981424036957328,0.9875026945861867,0.9911384008068574,0.998257638980688,0.9979808191605337,0.987591971495387,0.9976985663204223,1.0,0.9900059864637635,0.9849478043771467,0.9863098793255318,0.9931937831256781,0.992453640416182,0.9865806442405538,0.9805253231758835,0.9880472605441152,0.9990238371633502,0.9939551025455691,0.9807288433296434,0.967523305974173,0.9983251481269909,0.9966563223326231,0.983859550705748,0.9849742809658436,0.9944710028409929,0.9883205484187036,0.9829131678835326,0.9902932773003458,0.9775952725319514,0.9835176851055417,0.9804422234634701,0.9835056391504666,0.9929915353098889,0.9896119458125465,0.981549038158918,0.9836367054773303,0.9919873217414112,0.9880357725112089,0.9970583958428777,0.9885374065819887,0.9805974136013615,0.9915624560689007,0.9858523914598146,0.9802105681244071,0.9763157671475549,0.9959930604886603,0.9951169287814942,0.9556298526909183,0.992844465951389,0.9621445150763261,0.9726751629611203,0.9791907535227236,0.9946991605442257,0.9901829269334126,0.9706711415884364,0.9621718709095467,0.9827303196704981,0.9952083324070928,0.9850776652394878,0.9958577130820572,0.9461218261952634,0.9647167433804387,0.9297099275887675,0.8552506190860505
bik,0.9960372299147016,0.9986028222600618,0.9980845543800452,0.994297385345097,0.996619241985141,0.9992337944473626,0.9926975489635221,0.9900059864637635,1.0,0.9991405423228323,0.9931462148804487,0.9985148001839056,0.9846132249272792,0.9957776731051222,0.9695913817585444,0.9992079548114355,0.9951516138735225,0.9958674067685717,0.9778188136480659,0.9911553856048829,0.9941356712175585,0.9953021002258442,0.998673831530488,0.9656589102256758,0.98772108582322,0.9949409398543468,0.9950175885682282,0.999986051207233,0.996381340436119,0.9948499980487482,0.9967796731328903,0.9972018476370235,0.989555033177539,0.9940143076935046,0.9948554219282068,0.9991077335277008,0.991930349560887,0.9928488093173071,0.9965664344110567,0.9987564535784141,0.9975552701690884,0.993755199819065,0.9672974804175508,0.996859835503477,0.9545006197560271,0.9948645199849181,0.9972514944747586,0.9802631525070962,0.992781063611303,0.9344521805604499,0.9638962550100574,0.9945905662801061,0.9857497322247265,0.9692774283591379,0.9608219520147089,0.9851991385753307,0.9585104192493175,0.9979159868676757,0.9960376465155166,0.9888761100097614,0.9812385559036656,0.9322495949501429,0.9715368468752003,0.7817174473610414
mtt,0.9926016589637572,0.9990398512851859,0.9971662544699303,0.9895545456156474,0.993041929138408,0.9993435597994335,0.9902000657810667,0.9849478043771467,0.9991405423228323,1.0,0.993355974894389,0.9972106229318725,0.9832262354017162,0.9966495182209191,0.9691025501785081,0.9992509141119158,0.9913987239179125,0.9951452357654088,0.9784351690667815,0.9939712222735125,0.9910023808981708,0.9932730224630439,0.9987477594341162,0.9604357989248667,0.9861812660162191,0.9949428110678752,0.9965674034029826,0.9991189824595722,0.9967608059891861,0.994300843888929,0.9963994070871367,0.9955040353744069,0.987836509914434,0.9934776670710798,0.9968600217308994,0.9998119191637986,0.9911721417345959,0.9925524859156827,0.9924654638832004,0.9990309049616523,0.9978620255288132,0.9931867944752529,0.9643701945892021,0.9968035506460741,0.9515639248823051,0.9926588291980207,0.9958883971890904,0.9857892860472129,0.9918188990900321,0.9288922411523847,0.9640656215750767,0.9965286422025817,0.9835287297271086,0.9641672644897018,0.9609451909952255,0.98979438302401,0.9519934458950694,0.9945730242988541,0.9965886923447193,0.9854102816035892,0.9864681248932108,0.9199922064431749,0.9788744827240969,0.7641426024372
