,mel,afi,d4r,bea,cas,nsc,d6r,mfi,bik,mtt,ddr,mwf,sod,fer,pcr,bog,mor,cha,lta,imf,dzc,can,non,pau,mei,sti,mtn,jbw,stf,aft,bre,lau,gis,ast,nat,ton,dsc,afs,mtw,gme,doh,rth,d8r,ats,abw,dcc,lev,rut,atn,ltl,bph,clo,lov,mso,dnc,rte,phi,d3r,afy,vsv,los,aww,eab,ave
mel,0.9999999999999999,0.9954384829647858,0.9930533192808157,0.9941745577908814,0.9993117291533056,0.99522909024367,0.9961476331144988,0.9983558720474305,0.9933801777432478,0.995426214925495,0.9948157318011484,0.9802816550231781,0.987048371919091,0.9975648924578918,0.9953710665069075,0.9950805590713249,0.9993009005525882,0.9960234877088174,0.9742442499684646,0.9936133896141764,0.9938530133019478,0.9993942707834873,0.9959015232094827,0.99222918570577,0.9974441909280892,0.997817407089338,0.9648825947103781,0.993441657478564,0.9995657982643763,0.994808867769652,0.9969052438756166,0.9944340766076112,0.992073781190772,0.9148703701834301,0.9921373586463065,0.9954810064446714,0.9962368143386366,0.9941077033778812,0.9951421015722776,0.9973856151947934,0.9855738409098599,0.9923168447910596,0.9907020724743072,0.9938176576742723,0.967242643736117,0.9966339890663642,0.994715844164697,0.9091823389736231,0.9926789378559656,0.9850700530227492,0.9895858693618161,0.8872165907794944,0.996105851679188,0.9958845261930668,0.9305619518786455,0.9429313658482451,0.9943604918796707,0.8857698665149049,0.9854725954561886,0.9924093352574853,0.9142847273334141,0.9955878495830133,0.994414189304846,0.964623909442153
afi,0.9954384829647858,0.9999999999999999,0.9903548322860946,0.992726307113527,0.9972502518549496,0.999945189393671,0.9880100651674946,0.9926455778700813,0.997494203949793,0.9973805242429594,0.9888289036619533,0.9670370832929981,0.9806574624608948,0.9978381066412149,0.9940726365661842,0.9998554967255959,0.9963090022574921,0.98502677237638,0.9615960571384221,0.9953146476071802,0.9986810040510816,0.9973408201086738,0.9990111885200263,0.9810960475578676,0.9951099651123833,0.9966248588277073,0.9641454461604456,0.9976973457420404,0.9977035624954773,0.9833239414293019,0.9944392771816262,0.9950543149114526,0.9821622403999662,0.9193255116981669,0.9836204192829532,0.9987787946477736,0.997905884064658,0.995925652888823,0.9954359673568741,0.9962997943884964,0.990468517233167,0.9853991343850883,0.9799660509274122,0.9975035080485656,0.9678075980823582,0.992340673939495,0.9838037179832362,0.91317128664049,0.9910504412275422,0.9891712273214278,0.9874815037363123,0.8856319758531604,0.989802624920039,0.9909714025787586,0.9418851909369754,0.9452769573284949,0.9861431667925104,0.8905566296446465,0.9818266247831777,0.9857243429722088,0.9190073389229252,0.9934600163652683,0.9832393792025503,0.9586458984797012
d4r,0.9930533192808157,0.9903548322860946,1.0000000000000002,0.9968404953607013,0.9900624785584371,0.9910679669995557,0.9953086980007896,0.9849369317056408,0.9817331179828113,0.9828531279711538,0.9816404237411668,0.977224224872962,0.9949145228188099,0.9949648710066797,0.9804342125032407,0.9918195070195817,0.9937139261804087,0.9854547406198776,0.9807276812503821,0.9794691888297546,0.9880472796484393,0.9921117572856102,0.9883132563095598,0.9840267244122335,0.9981055859798361,0.9972814371752248,0.9298385679461644,0.9822251265853362,0.9935322387276889,0.9855523703688458,0.9971462983165036,0.9957943092913851,0.9717202060342384,0.8684891103161272,0.971843446987143,0.9941593626754609,0.9964210988744665,0.9940883830004026,0.9956703023645682,0.997979447425079,0.9669281331553112,0.9827047086061677,0.9869570385705855,0.9889964576835288,0.9352596624527983,0.9811169333161622,0.9797613798870457,0.8597582715682885,0.9833627030699861,0.9943032189653818,0.9996141852717524,0.9336499751515661,0.9842782813062426,0.9797260549839204,0.9643951080806594,0.901653560493795,0.9774474957840862,0.9326414435058327,0.9984369960363788,0.9742814172338915,0.866882567480976,0.9990736791111211,0.979877061591821,0.9463997102420468
bea,0.9941745577908814,0.992726307113527,0.9968404953607013,1.0,0.9929923430905203,0.9930879186698376,0.9900440406465725,0.9882689705762271,0.9876768758700731,0.987835510420872,0.9791677512471976,0.9638582331588977,0.9847930957111296,0.996615008486896,0.9865716694765518,0.9935922881233488,0.9969008660213581,0.9828758608839765,0.9645242114452498,0.9840310456693355,0.9926921215102079,0.9927869563921116,0.9929236862105822,0.9772542511132815,0.9986132778573126,0.9960109744234766,0.9409177235466057,0.9881028245247158,0.9947274511041406,0.9813112866784027,0.999526870554658,0.9989309036770901,0.9760747846422085,0.8902780008120613,0.9788312379049335,0.995823726309607,0.9951422911640697,0.9939239584476246,0.9995636509818098,0.9972889417581188,0.9755392886945671,0.9765208320375981,0.9781382250392259,0.9912618961463218,0.9485059752841848,0.9859196000235476,0.9791991213400992,0.8812321749655218,0.9810050452392404,0.9872106640797228,0.9951362806256607,0.915113046462028,0.9911321459505096,0.9862050047806711,0.9567597409482419,0.9183115054050761,0.9775131021988142,0.9180033179554097,0.9935382663737352,0.9831378958642357,0.8886083285538792,0.9956990669452194,0.9786357157167462,0.9460856964816595
cas,0.9993117291533056,0.9972502518549496,0.9900624785584371,0.9929923430905203,1.0,0.9968750492408142,0.9926245431131392,0.9986760341426554,0.9967876048756998,0.9981834638500472,0.9945374413851717,0.9746998371187165,0.9818403804742323,0.9977270049820319,0.9977940803695755,0.9965553021036124,0.9990716576786378,0.9937146831093729,0.9669185240023291,0.9966145964663075,0.9963288384029939,0.999483341050497,0.9981532176121573,0.9888749538740561,0.9959565087243566,0.9966921599289023,0.9716611429210532,0.9968054070486729,0.9995084152499599,0.9919504823019883,0.9957964038661119,0.994314540795795,0.992689458180074,0.9266699279302893,0.9934386931701082,0.9962831399561379,0.9957608588963062,0.9940825985016776,0.9949563584627971,0.9960989137194002,0.9908111973674352,0.9906473309650811,0.9864841289317529,0.9954373793042887,0.9743567545250835,0.9980528019976609,0.9935101371454449,0.9211592554264257,0.992936055781035,0.9829696290886555,0.9860659353104501,0.8767792433165501,0.9966547032031412,0.9974112875395773,0.9261867489862006,0.9523585798361378,0.9942946187505501,0.8762078261069248,0.9809205258448996,0.9941522983440416,0.9261622872711174,0.9932257581522412,0.9929650286352123,0.9657999123416987
nsc,0.99522909024367,0.999945189393671,0.9910679669995557,0.9930879186698376,0.9968750492408142,0.9999999999999999,0.9882772712644285,0.9919058120933892,0.9970629001338083,0.9968936824031354,0.9883910375563552,0.9671763158277575,0.981516908904946,0.9980845157138113,0.9934322715697291,0.9999697817863015,0.9961521601605747,0.9845432264840098,0.9624455565639286,0.9948678387359702,0.9986688690815447,0.9970337895318275,0.9987176516774348,0.9808515181384467,0.9954908839279325,0.9970184398512834,0.9617418270955064,0.9972937568572235,0.9976158978657215,0.9829385991213925,0.9946308066103275,0.9953340665729378,0.9808931185891024,0.9156552633212188,0.9823362617038351,0.9991106718627785,0.9982656035027851,0.9966102172138084,0.9956863619791423,0.9967027699487331,0.9897226447900946,0.98533792199145,0.9801881636772352,0.9978643190937269,0.9657058407761423,0.9916604011743003,0.9830015285912135,0.9093820407408041,0.9913225060497192,0.9901533956145637,0.9884468175650073,0.8889845697960064,0.9890524331732532,0.9899483852371015,0.944545517828336,0.9422276691962607,0.9851854032093275,0.8942433245223202,0.9829435731902121,0.9845310281227834,0.9153447300479374,0.9940837154909616,0.9824350522086756,0.9590504758048496
d6r,0.9961476331144988,0.9880100651674946,0.9953086980007896,0.9900440406465725,0.9926245431131392,0.9882772712644285,1.0,0.9915521045034899,0.981696637578162,0.9850163170555876,0.9927293863838759,0.991640014813909,0.99629305451845,0.9927847898215378,0.9845639815835389,0.9885236096998616,0.9936424940820501,0.9962955044295122,0.9899803693235615,0.9832600576835905,0.9843812592920982,0.9949002094910401,0.9865153685329852,0.9964668291666958,0.9952674802118617,0.9963631769602983,0.9449205033797369,0.9818676906729735,0.9950039826906909,0.9968585629272979,0.9930915941417473,0.9892030009156974,0.984108327303686,0.8818545834978364,0.981677390369024,0.9899955456986822,0.9939819241537182,0.9909766347117229,0.9893249151563548,0.995722595456545,0.9699023344193213,0.9944051377495157,0.997567877466807,0.9869956306028895,0.9458809720420043,0.9877506290065451,0.992275390693827,0.8759273780193763,0.9902584907463629,0.9887935611007422,0.993459087168288,0.9107328138605092,0.9870221064547053,0.9856133759545577,0.9385551748726871,0.9160023544291835,0.9900449402698057,0.9049228166465858,0.9909207213441547,0.9803626823851943,0.8810733957014408,0.9970659671110128,0.9926807583901811,0.9602092491111309
mfi,0.9983558720474305,0.9926455778700813,0.9849369317056408,0.9882689705762271,0.9986760341426554,0.9919058120933892,0.9915521045034899,1.0,0.9933679781305497,0.9959158937164515,0.9954270867691367,0.9767280263760253,0.9784749899606359,0.9933248661764174,0.9969793458941228,0.9913465494472246,0.9971260780455139,0.9961779709567561,0.9660784570201992,0.9944142661701066,0.9910440915107538,0.9979595407786203,0.994339661878256,0.9911610808161113,0.9921386467362693,0.9927508951475255,0.9767171753255273,0.9932326510535417,0.9972983045744888,0.994316915662773,0.9920860065645362,0.9888346860296386,0.9970113650542042,0.9330668813923706,0.9971176809549717,0.9906021894802108,0.9910085568561754,0.9880087508252466,0.9900676450611752,0.9920228946789375,0.9883993253444107,0.9910190690960228,0.9871473447159059,0.9899199596300824,0.9772371916384109,0.9986348329792895,0.9968927807444489,0.9287794521390266,0.9904611422364996,0.9756353737831395,0.9799496264924739,0.8605279181641041,0.9971427160046737,0.9989305064136077,0.9099503430599993,0.9582455168459069,0.99747656778316,0.8593305632051339,0.9746800726342079,0.9964503366306257,0.9329265431536865,0.9887953199640044,0.9964799353971554,0.964739161090966
bik,0.9933801777432478,0.997494203949793,0.9817331179828113,0.9876768758700731,0.9967876048756998,0.9970629001338083,0.981696637578162,0.9933679781305497,0.9999999999999999,0.9996100848853303,0.9892970452936661,0.9586934203071585,0.9685471963669005,0.9954437369615987,0.9981884976074692,0.9965191095961433,0.9943289364202806,0.9834261136269198,0.9492102328548173,0.9989687834468322,0.9987185483644012,0.9950716647458826,0.999059126635076,0.9766920331913483,0.9898571367346536,0.991534918720965,0.9769412191814739,0.999992373503681,0.9953800380078959,0.9807292757691511,0.9902191354795852,0.9916785718737066,0.9869621653196713,0.9402204090704378,0.98919549716281,0.9956520035792364,0.9918022489811233,0.9928079564244443,0.9916584788939863,0.9904437512847897,0.9975208868881278,0.9832571501692562,0.9738494444035705,0.9969268078320411,0.9818765950932032,0.995865783262123,0.9849787208340348,0.9343760612265154,0.9910465696781559,0.9769315545865318,0.9772588836133735,0.8613327677237924,0.99241365904124,0.9942996644471778,0.9199332712567593,0.9617371426751221,0.987742342796473,0.8609019307274844,0.9701549289859266,0.9912989742447751,0.9395533035654853,0.9858616996840314,0.9838194438924999,0.9677279707372191
mtt,0.995426214925495,0.9973805242429594,0.9828531279711538,0.987835510420872,0.9981834638500472,0.9968936824031354,0.9850163170555876,0.9959158937164515,0.9996100848853303,1.0,0.9925478563884389,0.9647445874248772,0.9718332359530345,0.9957948730463201,0.9990775039997732,0.9963071789178499,0.9955802654167449,0.9876552385387943,0.9546583753237832,0.999418726947295,0.9978434316691026,0.9967414070585188,0.9987979022223232,0.9816569600125044,0.9909393727856658,0.9927697453034312,0.9786748473886934,0.9995525611423005,0.9968038620186399,0.9852192981819077,0.9908871783525928,0.9912121062287783,0.9904820373340133,0.9397919125961217,0.9919786245656437,0.9953491212911704,0.9925663602054051,0.9928165412403156,0.9914873100503725,0.9915717263435454,0.9969398182009952,0.9871034102349171,0.978585146137302,0.9965981693614526,0.982257240704037,0.9977411939168602,0.9891025362524738,0.9346101259816904,0.9930096078970977,0.9776327523653815,0.9782311507846537,0.8601603998416796,0.9938897285273072,0.996198003107391,0.917143226637128,0.9624875943554682,0.9915279960550498,0.8597005957770165,0.9712786716346191,0.993099589188838,0.9394056951256994,0.9873481840527224,0.9881210155371066,0.9699921817686052
