Feature,Importance
cryst_temp,0.08784551306323363
osda_total_volume,0.0723210904960242
osda1_index,0.07004922377887168
Al,0.06474820143884896
osda1_axes_mean_0,0.06020446800454371
Na,0.057932601287391194
Ge,0.054524801211662255
rotation,0.053767512305944676
Si,0.04808784551306322
K,0.04392275653161681
cryst_time,0.04354411207875808
osda1_bertz_ct_mean_0,0.03862173419159409
P,0.03672851192730031
osda1_getaway_mean_0,0.03332071185157137
F,0.031806134040136325
osda1_asphericity_mean_0,0.03142748958727759
Gel_Si_Al,0.02801968951154865
osda1_getaway_mean_1,0.027262400605831183
aging_temp,0.025747822794396025
osda_max_bertz,0.02271866717152593
osda_max_sasa,0.022340022718667196
aging_time,0.021961378265808462
Gel_P_Si,0.021582733812949617
osda1_free_sasa_mean_0,0.020446800454373304
osda_avg_bertz,0.018553578190079523
osda1_box_mean_0,0.017796289284361944
osda_avg_asphericity,0.017796289284361944
osda_min_asphericity,0.017796289284361944
OH,0.01741764483150321
osda1_axes_mean_1,0.017039000378644475
osda_avg_sasa,0.014388489208633115
H2O_T,0.013631200302915536
osda1_eccentricity_mean_0,0.013252555850056802
seed,0.012495266944339223
Cs,0.012116622491480489
osda1_box_mean_1,0.012116622491480489
osda2_index,0.010223400227186707
B,0.007951533510034081
osda2_getaway_mean_0,0.007951533510034081
osda_min_sasa,0.007572889057175347
Li,0.007194244604316502
Ti,0.005679666792881455
Ga,0.005301022340022721
Sr,0.004165088981446408
osda2_free_sasa_mean_0,0.004165088981446408
osda2_axes_mean_0,0.004165088981446408
Zn,0.0037864445285876736
Gel_P_Al,0.0034078000757289395
OH_T,0.0030291556228700944
osda_max_asphericity,0.0030291556228700944
osda2_bertz_ct_mean_0,0.0026505111700113604
Co,0.0022718667171526263
Cu,0.0022718667171526263
Mg,0.0018932222642937813
osda2_asphericity_mean_0,0.0018932222642937813
osda2_box_mean_0,-0.0018932222642937813
Ni,0.0015145778114350472
Mn,0.0015145778114350472
Fe,0.0015145778114350472
V,0.0015145778114350472
osda2_box_mean_1,-0.0015145778114350472
osda2_axes_mean_1,0.0011359333585763132
Rb,-0.0007572889057175791
Tl,0.0007572889057175791
osda2_eccentricity_mean_0,0.0007572889057175791
osda3_eccentricity_mean_0,0.0007572889057175791
osda3_getaway_mean_1,0.0007572889057175791
osda_min_bertz,0.0007572889057175791
Cr,0.00037864445285873405
Be,0.00037864445285873405
Sn,0.00037864445285873405
Gd,0.00037864445285873405
La,0.00037864445285873405
Ta,0.00037864445285873405
acid,0.00037864445285873405
osda1_box_mean_2,0.00037864445285873405
osda2_box_mean_2,0.00037864445285873405
osda2_getaway_mean_1,0.00037864445285873405
osda3_bertz_ct_mean_0,0.00037864445285873405
osda3_free_sasa_mean_0,0.00037864445285873405
osda3_asphericity_mean_0,0.00037864445285873405
osda3_box_mean_0,0.00037864445285873405
Ba,0.0
Ca,0.0
In,0.0
Nb,0.0
W,0.0
Ce,0.0
Y,0.0
Dy,0.0
Sm,0.0
Ag,0.0
Cd,0.0
Zr,0.0
Ru,0.0
Hf,0.0
Yb,0.0
As,0.0
osda3_index,0.0
osda3_axes_mean_0,0.0
osda3_axes_mean_1,0.0
osda3_box_mean_1,0.0
osda3_box_mean_2,0.0
osda3_getaway_mean_0,0.0
