Framework,Precision,Recall,F1_Score,Support
MFI,0.8491803278688524,0.7685459940652819,0.8068535825545171,337
CHA,0.7446808510638298,0.8215962441314554,0.78125,213
*BEA,0.6243386243386243,0.6629213483146067,0.6430517711171662,178
AFI,0.7278481012658228,0.8333333333333334,0.777027027027027,138
MTW,0.3953488372093023,0.37777777777777777,0.38636363636363635,90
LTA,0.5952380952380952,0.5952380952380952,0.5952380952380952,84
FAU,0.7125,0.6951219512195121,0.7037037037037037,82
MOR,0.65,0.7027027027027027,0.6753246753246753,74
MWW,0.7195121951219512,0.8428571428571429,0.7763157894736842,70
TON,0.6376811594202898,0.7719298245614035,0.6984126984126984,57
AEL,0.7796610169491526,0.8846153846153846,0.8288288288288288,52
FER,0.5454545454545454,0.6666666666666666,0.6,45
BEC,0.7391304347826086,0.425,0.5396825396825397,40
AEI,0.6,0.42857142857142855,0.5,35
MTT,0.6666666666666666,0.7058823529411765,0.6857142857142857,34
LEV,0.7878787878787878,0.7647058823529411,0.7761194029850746,34
ANA,0.391304347826087,0.2727272727272727,0.32142857142857145,33
UTL,0.7209302325581395,0.9393939393939394,0.8157894736842105,33
SOD,0.5833333333333334,0.4375,0.5,32
AEN,0.5,0.22580645161290322,0.3111111111111111,31
ISV/BEC,0.6,0.8,0.6857142857142857,30
GIS,0.5185185185185185,0.4666666666666667,0.49122807017543857,30
STF,0.5135135135135135,0.6785714285714286,0.5846153846153846,28
MEL,0.6666666666666666,0.5714285714285714,0.6153846153846154,28
NON,0.6363636363636364,0.5,0.56,28
*MRE,0.6470588235294118,0.4074074074074074,0.5,27
EMT,0.7272727272727273,0.7272727272727273,0.7272727272727273,22
AST,0.7142857142857143,0.45454545454545453,0.5555555555555556,22
ITH,0.7333333333333333,1.0,0.8461538461538461,22
IWR,0.6551724137931034,0.9047619047619048,0.76,21
ITQ-21,0.8181818181818182,0.9,0.8571428571428571,20
ATO,0.7894736842105263,0.75,0.7692307692307693,20
ERI,0.6538461538461539,0.8947368421052632,0.7555555555555555,19
DDR,0.5833333333333334,0.3888888888888889,0.4666666666666667,18
EUO,0.6923076923076923,0.5,0.5806451612903226,18
*STO,0.5714285714285714,0.47058823529411764,0.5161290322580645,17
RTH,0.6923076923076923,0.5294117647058824,0.6,17
STW,0.65,0.7647058823529411,0.7027027027027027,17
MAZ,0.6875,0.6470588235294118,0.6666666666666666,17
LTL,0.5294117647058824,0.5625,0.5454545454545454,16
MTN,0.5882352941176471,0.625,0.6060606060606061,16
ISV,0.8461538461538461,0.7333333333333333,0.7857142857142857,15
IRR,0.6190476190476191,0.8666666666666667,0.7222222222222222,15
SZR,0.9,0.6923076923076923,0.782608695652174,13
*-SVY,0.4666666666666667,0.5384615384615384,0.5,13
MRT,0.7333333333333333,0.8461538461538461,0.7857142857142857,13
IWW,0.75,0.8181818181818182,0.782608695652174,11
ERI/OFF,0.8333333333333334,0.9090909090909091,0.8695652173913043,11
VET,0.75,0.5454545454545454,0.631578947368421,11
IFR,0.8181818181818182,0.8181818181818182,0.8181818181818182,11
ITE,0.46153846153846156,0.6,0.5217391304347826,10
RHO,1.0,0.6,0.75,10
AFX,0.8,0.8,0.8,10
ATS,0.7777777777777778,0.7,0.7368421052631579,10
ITW,0.5384615384615384,0.7,0.6086956521739131,10
IMF,0.6923076923076923,1.0,0.8181818181818182,9
AWO,0.5,0.4444444444444444,0.47058823529411764,9
STT,0.8,0.4444444444444444,0.5714285714285714,9
ITT,0.5,0.4444444444444444,0.47058823529411764,9
OFF,0.5,0.5555555555555556,0.5263157894736842,9
DOH,0.2857142857142857,0.2222222222222222,0.25,9
AFO,1.0,0.2222222222222222,0.36363636363636365,9
*CTH,0.8,0.8888888888888888,0.8421052631578947,9
-ITV,0.7777777777777778,0.875,0.8235294117647058,8
RUT,0.4444444444444444,0.5,0.47058823529411764,8
GME,0.6363636363636364,0.875,0.7368421052631579,8
MER,0.0,0.0,0.0,8
MEI,0.7,0.875,0.7777777777777778,8
CFI,1.0,0.875,0.9333333333333333,8
CON,0.75,0.375,0.5,8
ABW,0.6,0.42857142857142855,0.5,7
BPH,0.5,0.42857142857142855,0.46153846153846156,7
SFO,0.625,0.7142857142857143,0.6666666666666666,7
PHI,1.0,0.5,0.6666666666666666,6
LOS,0.6666666666666666,1.0,0.8,6
TON/MTT,0.5454545454545454,1.0,0.7058823529411765,6
MSE,0.8571428571428571,1.0,0.9230769230769231,6
SAS,0.6666666666666666,0.8,0.7272727272727273,5
CSV,1.0,1.0,1.0,5
CGS,0.6666666666666666,0.4,0.5,5
EDI,0.6,0.6,0.6,5
TUN,0.6,0.6,0.6,5
SAV,0.7142857142857143,1.0,0.8333333333333334,5
-CLO,1.0,0.4,0.5714285714285714,5
MFI/MEL,0.5,0.75,0.6,4
ITQ-43,0.4,0.5,0.4444444444444444,4
MTF,0.0,0.0,0.0,4
MFS,1.0,0.6666666666666666,0.8,3
CAN,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
ATN,0.3333333333333333,0.3333333333333333,0.3333333333333333,3
AFN,1.0,0.6666666666666666,0.8,3
NES,1.0,0.3333333333333333,0.5,3
IWV,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
MEL/MFI,1.0,0.6666666666666666,0.8,3
NSI,0.5,0.3333333333333333,0.4,3
STI,0.0,0.0,0.0,3
ZON,1.0,0.6666666666666666,0.8,3
UOV,0.75,1.0,0.8571428571428571,3
VFI,0.0,0.0,0.0,3
PAU,1.0,0.6666666666666666,0.8,3
SGT,0.0,0.0,0.0,3
SFE,1.0,1.0,1.0,3
ITG,0.75,1.0,0.8571428571428571,3
KFI,0.3333333333333333,0.6666666666666666,0.4444444444444444,3
*UOE,1.0,1.0,1.0,2
*-ITN,1.0,1.0,1.0,2
UFI,0.0,0.0,0.0,2
AFR,0.5,1.0,0.6666666666666666,2
NAT,0.0,0.0,0.0,2
UOS,1.0,1.0,1.0,2
AFS,0.0,0.0,0.0,2
AFV,0.6666666666666666,1.0,0.8,2
AFY,0.6666666666666666,1.0,0.8,2
ETL,0.5,0.5,0.5,2
JSW,0.5,1.0,0.6666666666666666,2
LAU,1.0,1.0,1.0,2
AVL,1.0,1.0,1.0,2
HEU,0.0,0.0,0.0,2
PON,1.0,1.0,1.0,2
SWY,0.3333333333333333,0.5,0.4,2
EZT,1.0,1.0,1.0,2
NUD-1,0.5,0.5,0.5,2
-SVR,0.0,0.0,0.0,1
-IRY,1.0,1.0,1.0,1
-LIT,1.0,1.0,1.0,1
ASV,0.0,0.0,0.0,1
APC,0.0,0.0,0.0,1
APD,1.0,1.0,1.0,1
IFO,0.0,0.0,0.0,1
FAU/EMT,0.0,0.0,0.0,1
CDO,0.0,0.0,0.0,1
EON,0.0,0.0,0.0,1
JBW,0.0,0.0,0.0,1
IWS,0.0,0.0,0.0,1
ITR,1.0,1.0,1.0,1
IFW,0.0,0.0,0.0,1
RTE,0.3333333333333333,1.0,0.5,1
PWW,1.0,1.0,1.0,1
MWF,0.0,0.0,0.0,1
MSO,1.0,1.0,1.0,1
SSY,1.0,1.0,1.0,1
SFS,1.0,1.0,1.0,1
SFF,0.5,1.0,0.6666666666666666,1
SBE,1.0,1.0,1.0,1
SAO,0.0,0.0,0.0,1
SAF,0.0,0.0,0.0,1
SVV,0.0,0.0,0.0,1
YFI,0.0,0.0,0.0,1
